Ability,Skill,Talent,uh-bi-luh-tee,
Update,Modify,Mordenize,up-dayt,
Urbane,Stylish,Morden,uh-bayn,
Urban,Citified,City,uh-bn,
Urgent,Imperative,Emergency,uh-jnt,
Vacant,Empty,Unoccupied,vay-knt,
Vascular,Conduction,Vessels,va-skyoo-luh,
Venomous,Lethal,Toxic,veh-nuhm-uhs,
Victory,Success,Win,vik-tuh-ree,
Vitage,Classic,Origin,vin-tij,
Virago,Strong women,Harridan,vuh-raa-goh,
Virulent,Potent,Powerful,vi-ru-luhnt,
Vista,View,Prospect,vis-tuh,
Vortex,Current,Whrilwind,vaw-teks,
Voracious,Hungry,Insatiable,vuh-ray-shuhs,
Wadi,Stream,Valley,vaa-dee,
Wan,Pale,Pallid,waen,
Warranty,Guarantee,Permit,vaw-ruhnt-ee,
Wealth,Assets,Luxury,velth,
Wild,Reckless,Imprudent,viled,
Wonderful,Amazing,Splendid,vuhn-duh-fl,
Wise,Smart,Clever,vize,
Woof,Filling,Weft,wuhf,
Wry,Misunderstanding,Ironic,rai,
Wunderkind,Genius,Smart,wun-duh-kind,
Xanadu,Luxury,Richness,zan-uh-doo,
Xebecs,Clippers,Three-Masted Vessel,zee-beh-ks,
Xenial,Friendly,Affable,zinee-uhl,
Xeric,Dry,Parched,zeer-ik,
Xerox,Duplicate,Photocopy,zeh-rawks,
Xylem,Woody plant,Ligneous plant,zai-luhm,
Xylene,Dissolver,Xylol,zai-leen,
Xiphoid,Sword shaped,Abductor,zi-foid,
Xylophones,Percussion instrument,,zai-luh-fone,
Xylose,Sugar,Wood sugar,zy-lohz,
Yatch,Boat,Ketch,yot,
Yap,Barking,Yelp,aep,
Yaw,Curve,Twist,yore,
Yawn,Bore,Wide open,yawn,
Yenta,Gossiper,Fink,yen-tuh,
Yet,After all,So far,yet,
Yip,Cry,Sharp cry of delight,ip,
Yodel,Sing,Scat,yoh-dl,
Young,Blooming,Junior,yuhng,
Youthful,Active,Spry,yooth-ful,
Zany,Humourless,Bizzare,zay-nee,
Zeal,Fire,Passion,zeel,
Zealous,Greedy,Fiery,zeh-luhs,
Zilch,Nil,Nothing,zilch,
Zest,Flavour,Gusto,zest,
Zeitgeisty,Trendy,Spirit,zite-giset-ee,
Zillion,Ordinal,A lot,zi-lee-uhn,
Zincous,Hurry,Containing zinc,sin-kuhs,
Zip,Postal code,Speed,zip,
Zephyr,Breeze,Fine cotton gingham,zeh-fuh,
Apple,fruit,Red in colour,a-pl,
Happy,joy,Excitement,ha-pee,
Ball,sphere,Toy,bawl, 
Puzzled,confused,Confounded,puh-zld, 
